Name,2RL,5SG(2.5RL),3RL,7SG(3.5RL),4RL,
Helm Treasure(s2+max s1),4,4,6,6,8,
Helm treasure(s1 lvl 4),2,2,3,3,4,
Emilia(21% CS),4,6,8,8,10,
Trina,2,2,3,3,4,
Jackal,2,2,3,3,4,
Anis,2,2,3,3,4,
Rumani,2,2,3,3,4,
Centi,2,2,3,3,4,
Emilia,4,4,6,6,8,
Noah,4,4,6,6,8,
Pascal,4,5,6,7,8,
Maiden: Ice Rose,4,4,6,6,8,
Liberalio,6,6,12,12,18,
Drake Treasure,40,51,61,71,81,
Drake,40,50,60,70,80,
Maiden,40,50,60,70,80,
Neon,40,50,60,70,80,
Pepper,40,50,60,70,80,
Sugar,40,50,60,70,80,
Soda: Twinkling Bunny,40,50,60,70,80,
Viper,40,50,60,70,80,
Noir,40,50,60,70,80,
Vesti: Tactical Upgrade,6,18,24,24,24,RL(proc)
Zwei,40,50,60,70,80,
Laplace(Treasure),4,4,6,6,8,
Arcana,2,2,4,4,4,
A2,2,2,4,4,4,
Raven,2,2,4,4,5,
Quiry,2,2,3,3,4,
Nihilister,2,2,3,3,4,
Mica:Snow Buddy(level 10 s2),32,39,47,54,62,
Laplace,2,2,3,3,4,
Tia,2,2,3,3,4,
Rapunzel,2,2,3,3,4,
Anne: Miracle Fairy,2,2,3,3,4,
Biscuit,2,2,3,3,4,
Mica,2,2,3,3,4,
Ada,2,2,3,3,4,
Anchor: Innocent Maid,2,2,3,3,4,
Anchor,2,2,3,3,4,
Bay,2,2,3,3,4,
Crust,2,2,3,3,4,
Noise,2,2,3,3,4,
Power,2,2,3,3,4,
Sora,2,2,3,3,4,
Vesti,2,2,3,3,4,
Scarlet,21,27,31,37,41,
Scarlet: Black Shadow,4,5,6,8,10,
Harran,2,2,3,3,4,
Asuka(Ammo OLed),21,27,31,37,41,
Ether,40,50,60,70,80,
Privaty: Unkind Maid,41,51,62,72,82,
Guilty,40,50,60,70,80,
Isabel,40,50,60,70,80,
Naga,40,50,60,70,80,
Marciana,40,50,60,70,80,
Mary,40,50,60,70,80,
Neve,40,50,60,70,80,
Dorothy: Serendipity,40,50,60,70,80,
Poli,40,50,60,70,80,
Leona,40,50,60,70,80,
Soline: Frost Ticket,40,50,60,70,80,
Anis:Sparkling Summer(5 Bullet+Resil Cube),40,50,50,50,60,
Eunhwa: Tactical Upgrade,2,2,3,3,4,
Eunhwa,2,2,3,3,4,
Himeno,2,2,3,3,4,
Belorta,1,1,2,2,3,
Red Hood,2,2,3,3,4,
Ade: Agent Bunny,2,2,3,3,4,
Milk: Blooming Bunny,2,2,3,3,4,
Ram,2,2,3,3,4,
Cocoa,2,2,3,3,4,
Ein,2,2,4,4,5,
Bready,2,2,3,3,4,
Dolla,2,2,3,3,4,
Exia,2,2,3,3,4,
Helm,2,2,3,3,4,
Rapunzel: Pure Grace,2,2,3,3,4,
Mari,2,2,3,3,4,
Maxwell,2,2,3,3,4,
Milk,2,2,3,3,4,
Rouge,2,2,3,3,4,
N102,2,2,4,4,6,
Trony,2,2,3,3,4,
D: Killer Wife,2,2,3,3,4,
Yan,1,1,2,2,3,
Yuni,1,1,2,2,3,
Yulha,1,1,2,2,3,
Admi,2,2,3,3,4,
Sakura,2,2,3,3,4,
Delta,2,2,3,3,4,
Mary: Bay Goddess,2,2,3,3,4,
Frima,2,2,3,3,4,
Cinderella(weird aim),8,12,16,18,22,
Eve,21,27,32,38,42,
Snow White Innocent Days,21,27,32,38,42,
Grave,21,27,31,37,41,
Rei Ayanami: (Tentative Name),22,28,32,39,43,
Mihara,21,27,31,37,41,
Ade,21,27,31,37,41,
Phantom,21,27,31,37,41,
Snow White,21,27,31,37,41,
Mana (S2 lvl 10),21,27,31,37,41,
Jill,6,7,11,14,15,
Mana (s2 lvl4),21,27,31,37,41,
Moran,21,27,31,37,41,
Ludmilla,32,39,47,54,62,
Tove,21,27,31,37,41,
Sakura: Bloom in Summer,24,30,35,42,46,
Blanc,21,27,31,37,41,
Helm:Aquamarine,21,27,31,37,41,
Brid,21,27,31,37,41,
Mori,21,27,31,37,41,
Dorothy,21,27,31,37,41,
Folkwang,21,27,31,37,41,
Julia,21,27,31,37,41,
2b,21,27,31,37,41,
Privaty,21,27,31,37,41,
Rapi,21,27,31,37,41,
Rupee,21,27,31,37,41,
Rosanna: Chic Ocean,21,27,31,37,41,
Rupee: Winter Shopper,21,27,31,37,41,
Guillotine: Winter Slayer,21,27,31,37,41,
Sin,21,27,31,37,41,
Modernia,70,102,130,162,190,
